s,C,mol/mol
Time,"TC_Center","CO_Center"
 0.0000000E+000, 2.2000000E+001, 0.0000000E+000
 4.7899494E-001, 2.1999998E+001, 2.2405903E-014
 7.9832489E-001, 2.1999995E+001, 1.3341508E-012
 1.1176548E+000, 2.1999994E+001, 1.0474017E-011
 1.5966498E+000, 2.1999993E+001, 5.5394735E-011
 1.9159797E+000, 2.1999994E+001, 1.6881280E-010
 2.2353097E+000, 2.2000000E+001, 3.5344505E-010
 2.5546397E+000, 2.2000012E+001, 6.6660416E-010
 3.0336346E+000, 2.2000044E+001, 1.3497240E-009
 3.3529645E+000, 2.2000101E+001, 2.4765013E-009
 3.6722945E+000, 2.2000181E+001, 3.9181390E-009
 3.9916245E+000, 2.2000306E+001, 6.0755951E-009
 4.4706194E+000, 2.2000564E+001, 1.0442296E-008
 4.7899494E+000, 2.2000982E+001, 1.7475221E-008
 5.1092793E+000, 2.2001517E+001, 2.6450208E-008
 5.4286093E+000, 2.2002324E+001, 3.9819873E-008
 5.9076042E+000, 2.2003944E+001, 6.6178289E-008
 6.2269342E+000, 2.2006517E+001, 1.0660470E-007
 6.5462641E+000, 2.2009730E+001, 1.5485052E-007
 6.8655941E+000, 2.2017487E+001, 2.2154978E-007
 7.3445890E+000, 2.2033100E+001, 3.3956899E-007
 7.6639190E+000, 2.2056180E+001, 5.0212643E-007
 7.9832489E+000, 2.2081720E+001, 6.7567941E-007
 8.3025789E+000, 2.2114910E+001, 8.9425189E-007
 8.7815738E+000, 2.2168414E+001, 1.2454023E-006
 9.1009038E+000, 2.2236775E+001, 1.6873291E-006
 9.4202337E+000, 2.2303016E+001, 2.1239452E-006
 9.7395637E+000, 2.2380361E+001, 2.6405403E-006
 1.0218559E+001, 2.2494669E+001, 3.4145742E-006
 1.0537889E+001, 2.2629879E+001, 4.3267651E-006
 1.0857219E+001, 2.2756555E+001, 5.1644193E-006
 1.1176548E+001, 2.2901126E+001, 6.0759719E-006
 1.1655543E+001, 2.3108497E+001, 7.3028290E-006
 1.1974873E+001, 2.3344981E+001, 8.6024316E-006
 1.2294203E+001, 2.3558390E+001, 9.7050079E-006
 1.2613533E+001, 2.3792703E+001, 1.0848229E-005
 1.3092528E+001, 2.4112760E+001, 1.2244851E-005
 1.3411858E+001, 2.4456955E+001, 1.3495798E-005
 1.3731188E+001, 2.4748534E+001, 1.4345272E-005
 1.4050518E+001, 2.5050690E+001, 1.5046205E-005
 1.4529513E+001, 2.5442944E+001, 1.5701976E-005
 1.4848843E+001, 2.5852257E+001, 1.6181413E-005
 1.5168173E+001, 2.6193278E+001, 1.6452653E-005
 1.5487503E+001, 2.6576667E+001, 1.6584897E-005
 1.5966498E+001, 2.7016800E+001, 1.6561353E-005
 1.6285828E+001, 2.7440733E+001, 1.6403058E-005
 1.6605158E+001, 2.7776216E+001, 1.6201640E-005
 1.6924488E+001, 2.8111095E+001, 1.5972659E-005
 1.7403483E+001, 2.8519135E+001, 1.5671911E-005
 1.7722813E+001, 2.8920093E+001, 1.5380544E-005
 1.8042143E+001, 2.9207354E+001, 1.5165209E-005
 1.8361473E+001, 2.9473354E+001, 1.4974825E-005
 1.8840467E+001, 2.9777181E+001, 1.4787255E-005
 1.9159797E+001, 3.0059814E+001, 1.4665594E-005
 1.9479127E+001, 3.0272470E+001, 1.4629554E-005
 1.9958122E+001, 3.0529530E+001, 1.4674909E-005
 2.0277452E+001, 3.0784322E+001, 1.4820665E-005
 2.0596782E+001, 3.0988531E+001, 1.5023331E-005
 2.0916112E+001, 3.1201503E+001, 1.5301069E-005
 2.1395107E+001, 3.1483201E+001, 1.5750194E-005
 2.1714437E+001, 3.1781326E+001, 1.6274906E-005
 2.2033767E+001, 3.2030992E+001, 1.6717835E-005
 2.2353097E+001, 3.2296019E+001, 1.7152788E-005
 2.2832092E+001, 3.2645523E+001, 1.7650816E-005
 2.3151422E+001, 3.3010164E+001, 1.8075275E-005
 2.3470752E+001, 3.3305872E+001, 1.8338292E-005
 2.3790082E+001, 3.3606242E+001, 1.8523913E-005
 2.4269077E+001, 3.3976880E+001, 1.8640565E-005
 2.4588407E+001, 3.4337292E+001, 1.8646808E-005
 2.4907737E+001, 3.4610613E+001, 1.8570120E-005
 2.5227067E+001, 3.4871260E+001, 1.8426785E-005
 2.5706062E+001, 3.5174133E+001, 1.8155584E-005
 2.6025391E+001, 3.5451732E+001, 1.7807722E-005
 2.6344721E+001, 3.5649208E+001, 1.7487082E-005
 2.6664051E+001, 3.5829877E+001, 1.7155629E-005
 2.7143046E+001, 3.6032371E+001, 1.6777935E-005
 2.7462376E+001, 3.6217433E+001, 1.6492133E-005
